fishing_year,datetime,taxon,status,identification,capture_method,method,target,vessel_size,area,version,latitude,longitude,mitigation_equipment,excluded
2002/2003,2002-09-30 21:45:00+00:00,sooty shearwater,dead,necropsy,net,trawl,Hoki,43+,Fiordland,v20180001,166.055312757636,-46.7042895739898,,
2002/2003,2002-09-30 21:45:00+00:00,sooty shearwater,dead,necropsy,net,trawl,Hoki,43+,Fiordland,v20180001,166.025786958379,-46.6968511799583,,
2002/2003,2002-09-30 21:45:00+00:00,sooty shearwater,dead,necropsy,net,trawl,Hoki,43+,Fiordland,v20180001,166.032242117915,-46.708154096338,,
2002/2003,2002-09-30 21:45:00+00:00,sooty shearwater,dead,necropsy,net,trawl,Hoki,43+,Fiordland,v20180001,166.057564683631,-46.683378840494,,
2002/2003,2002-09-30 21:45:00+00:00,white-chinned petrel,dead,necropsy,net,trawl,Hoki,43+,Fiordland,v20180001,166.057376632607,-46.6851939003449,,
2002/2003,2002-10-02 20:30:00+00:00,Snares Cape petrel,alive,imputation,net,trawl,Hoki,43+,Fiordland,v20180001,165.899751679483,-46.0852651616558,,
2002/2003,2002-10-04 05:10:00+00:00,Chatham Island albatross,dead,observer,,bottom longline,Ling,43+,Chatham Rise,v20180001,182.434003747487,-43.9024209870026,,
2002/2003,2002-10-05 07:05:00+00:00,New Zealand fur seal,dead,observer,,trawl,Hoki,43+,Fiordland,v20180001,166.041372439545,-46.7640036248602,,
2002/2003,2002-10-05 08:10:00+00:00,giant petrels,killed,observer,other,bottom longline,Ling,43+,Chatham Rise,v20180001,182.539495092165,-43.9334315688815,,
2002/2003,2002-10-05 14:50:00+00:00,white-chinned petrel,dead,necropsy,net,trawl,Hoki,43+,Fiordland,v20180001,165.811492219684,-46.2957546044607,,
2002/2003,2002-10-06 00:00:00+00:00,sooty shearwater,dead,necropsy,unknown,trawl,Hoki,43+,Fiordland,v20180001,165.920842745714,-46.0757774617756,,
2002/2003,2002-10-06 00:00:00+00:00,sooty shearwater,dead,necropsy,unknown,trawl,Hoki,43+,Fiordland,v20180001,165.923850677628,-46.1063644351903,,
2002/2003,2002-10-06 20:09:00+00:00,storm petrels,alive,observer,deck,bottom longline,Ling,43+,Stewart Snares Shelf,v20180001,167.066634967434,-46.6847320436267,,deck
2002/2003,2002-10-06 20:09:00+00:00,sooty shearwater,alive,observer,deck,bottom longline,Ling,43+,Stewart Snares Shelf,v20180001,167.073030946427,-46.7081559962127,,deck
2002/2003,2002-10-06 20:09:00+00:00,broad-billed prion,alive,imputation,deck,bottom longline,Ling,43+,Stewart Snares Shelf,v20180001,167.051639797213,-46.6997735694051,,deck
2002/2003,2002-10-07 18:15:00+00:00,New Zealand fur seal,dead,observer,,trawl,Southern blue whiting,43+,Subantarctic,v20180001,171.731665240484,-52.636986597348,,
2002/2003,2002-10-07 23:20:00+00:00,sooty shearwater,alive,observer,hook,bottom longline,Ling,43+,Stewart Snares Shelf,v20180001,167.114294113079,-46.686134158005,,
2002/2003,2002-10-08 06:52:00+00:00,sooty shearwater,alive,observer,deck,bottom longline,Ling,43+,Stewart Snares Shelf,v20180001,167.091629387625,-46.6983921833336,,deck
2002/2003,2002-10-08 06:52:00+00:00,sooty shearwater,alive,observer,deck,bottom longline,Ling,43+,Stewart Snares Shelf,v20180001,167.090359259071,-46.6827111879829,,deck
2002/2003,2002-10-08 06:52:00+00:00,sooty shearwater,alive,observer,deck,bottom longline,Ling,43+,Stewart Snares Shelf,v20180001,167.097829607851,-46.6788232754683,,deck
2002/2003,2002-10-08 06:52:00+00:00,storm petrels,alive,observer,deck,bottom longline,Ling,43+,Stewart Snares Shelf,v20180001,167.081603540247,-46.7067796654766,,deck
2002/2003,2002-10-08 21:20:00+00:00,sooty shearwater,alive,observer,unknown,bottom longline,Ling,43+,Stewart Snares Shelf,v20180001,166.994466251624,-46.7532803010196,,
2002/2003,2002-10-08 21:20:00+00:00,broad-billed prion,alive,imputation,deck,bottom longline,Ling,43+,Stewart Snares Shelf,v20180001,166.99936779188,-46.7332645169226,,deck
2002/2003,2002-10-08 21:20:00+00:00,storm petrels,alive,observer,deck,bottom longline,Ling,43+,Stewart Snares Shelf,v20180001,166.985596546787,-46.7405656095827,,deck
2002/2003,2002-10-08 21:20:00+00:00,storm petrels,alive,observer,deck,bottom longline,Ling,43+,Stewart Snares Shelf,v20180001,166.991159625747,-46.7329705988988,,deck
2002/2003,2002-10-08 21:20:00+00:00,broad-billed prion,alive,imputation,deck,bottom longline,Ling,43+,Stewart Snares Shelf,v20180001,166.979744393285,-46.7351104682079,,deck
2002/2003,2002-10-08 21:20:00+00:00,sooty shearwater,alive,observer,deck,bottom longline,Ling,43+,Stewart Snares Shelf,v20180001,166.987362970831,-46.7611030963017,,deck
2002/2003,2002-10-08 21:20:00+00:00,sooty shearwater,alive,observer,deck,bottom longline,Ling,43+,Stewart Snares Shelf,v20180001,166.980856337864,-46.7271048038034,,deck
2002/2003,2002-10-08 21:20:00+00:00,broad-billed prion,alive,imputation,deck,bottom longline,Ling,43+,Stewart Snares Shelf,v20180001,166.975921117817,-46.7727474973537,,deck
2002/2003,2002-10-08 21:20:00+00:00,sooty shearwater,alive,observer,deck,bottom longline,Ling,43+,Stewart Snares Shelf,v20180001,166.982807246549,-46.7731807660544,,deck
2002/2003,2002-10-08 21:20:00+00:00,sooty shearwater,alive,observer,deck,bottom longline,Ling,43+,Stewart Snares Shelf,v20180001,167.01779942296,-46.7577441683039,,deck
2002/2003,2002-10-08 21:20:00+00:00,sooty shearwater,alive,observer,deck,bottom longline,Ling,43+,Stewart Snares Shelf,v20180001,166.977441369998,-46.7425346631557,,deck
2002/2003,2002-10-08 21:20:00+00:00,sooty shearwater,alive,observer,deck,bottom longline,Ling,43+,Stewart Snares Shelf,v20180001,167.005971332127,-46.7650441823993,,deck
2002/2003,2002-10-08 21:20:00+00:00,broad-billed prion,alive,imputation,deck,bottom longline,Ling,43+,Stewart Snares Shelf,v20180001,167.014385134215,-46.7273992802249,,deck
2002/2003,2002-10-08 21:20:00+00:00,sooty shearwater,dead,necropsy,unknown,bottom longline,Ling,43+,Stewart Snares Shelf,v20180001,166.981777455704,-46.7748523011571,,
2002/2003,2002-10-08 21:20:00+00:00,broad-billed prion,alive,imputation,deck,bottom longline,Ling,43+,Stewart Snares Shelf,v20180001,167.021176105784,-46.7600577567238,,deck
2002/2003,2002-10-09 10:51:00+00:00,New Zealand fur seal,dead,observer,,trawl,Scampi,28-43,Chatham Rise,v20180001,176.911258025002,-43.0524038280826,,
2002/2003,2002-10-09 22:49:00+00:00,sooty shearwater,alive,observer,deck,bottom longline,Ling,43+,Stewart Snares Shelf,v20180001,167.087061814568,-46.7556971007027,,deck
2002/2003,2002-10-09 22:49:00+00:00,storm petrels,alive,observer,deck,bottom longline,Ling,43+,Stewart Snares Shelf,v20180001,167.120902188821,-46.7477265018271,,deck
2002/2003,2002-10-10 18:51:00+00:00,storm petrels,alive,observer,deck,bottom longline,Ling,43+,Stewart Snares Shelf,v20180001,167.120156200789,-46.7201387624722,,deck
2002/2003,2002-10-11 00:54:00+00:00,Cape petrels,dead,necropsy,mitigation device,bottom longline,Ling,43+,Stewart Snares Shelf,v20180001,167.080752747599,-46.6857043720549,,
2002/2003,2002-10-11 01:35:00+00:00,sooty shearwater,dead,necropsy,,bottom longline,Ling,43+,Subantarctic,v20180001,178.537278857129,-47.6860481480137,,
2002/2003,2002-10-12 01:49:00+00:00,sooty shearwater,dead,necropsy,tangled,bottom longline,Ling,43+,Stewart Snares Shelf,v20180001,167.069082519086,-46.7168058824027,,
